Longitude,Latitude,Town,Location,StartDate,StartTime,EndDate,EndTime,Crime,CrimeType
80.564739,7.335182,Hedeniya,,2020-07-15,20:15,,,"Stealing 45,000 from a pocket by blindfolding from the back",Robbery
80.60994,7.334379,Rambukpotha,,2020-07-16,21:30,2020-07-17,6;15,Killing two mee-harak (cattle) by using electric fences,AnimalCruelty
80.625742,7.325952,Katugastota,Ranaviru Junction,2020-07-16,18:00,2020-07-17,12:15,Breaking into a dental clinic,Burglary
80.612965,7.304321,Gohagoda,,2018-04-18,,2020-07-18,,"Breaking trust and taking a Corolla to fix it with 20,000,00",Fraud
80.578864,7.319055,Werallagama,,2019-11-27,12:00,2019-11-27,19:00,"Breaking into a house and stealing gold worth 40,000",Burglary
80.612965,7.304321,Hamangoda,,2020-06-06,12:30,2020-07-14,11:30,"Breaking into a house and stealing property worth 25,000",Burglary
80.615696,7.353901,Ambatenna,,2019-12-14,,2020-02-11,,"Breaking trust and taking 564,693",Fraud
80.628027,7.320642,Katugastota,Mahaweli Reach Hotel,2020-06-25,15:40,,,"Abducting and taking 8,400 and a phone",Kidnapping
80.578864,7.319055,Werallagama,,2020-07-24,21:30,,,"Entering a house and stealing 77,000 and a phone worth 10,000",Burglary
80.609581,7.296542,Udumulla,,2020-07-11,14:00,2020-07-25,16:00,"Breaking into a house and stealing property worth 10,000",Burglary
80.585467,7.345114,Gonigoda,,2020-07-23,13:45,,,"Entering a house by force and stealing 24,000",Burglary
80.633779,7.315139,Pitakanda,Near Nittawela,2020-07-25,12:30,2020-07-26,19:20,"Breaking into a house and stealing property worth 10,000",Burglary
80.617118,7.323072,Yatiwawala,,2017-07-01,,2017-08-01,,"Giving a fake check worth 900,000",Fraud
80.624283,7.323781,Katugastota,,2020-06-24,16:00,,,Beating up with a club,Assault
80.615696,7.353901,Ambatenna,Bogasgoda,2020-07-29,23:30,2020-07-30,3:30,"Breaking into a house and stealing property worth 33,500",Burglary
80.615696,7.353901,Ambatenna,,2020-08-05,14:20,,,"Breaking into a house and stealing property worth 27,300",Burglary
80.612965,7.304321,Gohagoda,,2020-08-04,19:35,2020-08-04,22:00,"Abducting a 14yr old girl who got to known by a phone number. taken her to the suspects bedroom, scared her, beaten up , scolded and raped without her concent",Rape
80.564739,7.335182,Hedeniya,,2020-08-09,4:35,,,"Beaten up with a club, taken 49,320 while waiting for the bus""",Robbery
80.578864,7.319055,Yahalathenna,,2020-08-07,14:00,2020-08-09,18:00,Stealing wood,Theft
80.617118,7.323072,Yatiwawala,,2020-08-13,9:30,2020-08-13,12:10,"Breaking into a house and stealing property worth 763,000",Burglary
80.60994,7.334379,Uduwawala,,2020-08-13,13:15,,,Keeping heroin 27g 560mg and distributing in a lorry,Drug
80.612965,7.304321,Gohagoda,,2020-08-09,15:30,2020-08-15,9:30,"Breaking into a house and stealing property worth 5,000",Burglary
80.60994,7.334379,Uduwawala,,2020-08-09,11:00,2020-08-15,18:00,"Breaking into a house and stealing property worth 3,050",Burglary
80.602024,7.324071,Wathuwala,,2020-08-16,13:10,,,Keeping heroin 2g 30mg,Drug
80.564739,7.335182,Aladeniya,,2020-08-16,12:45,,,Keeping heroin 2g 40mg,Drug
80.578864,7.319055,Yahalathenna,,2019-01-01,,2020=08-15,14:30,Sexual Assault done by father to a 14yr old boy,Rape
80.578864,7.319055,Yahalathenna,,2019-01-01,,2020=08-15,,Sexual Assault 8yr old girl by father,Rape
80.578864,7.319055,Yahalathenna,,2020-01-01,,2020-07-01,,Sexual Assault 7yr old girl by father,Rape
80.61142,7.321026,Pahalakondadeniya,,2020-07-03,,2020-07-20,8:30,"Breaking into a house and stealing property worth 85,000",Burglary
80.624283,7.323781,Katugastota,Manikkumbura market,2020-08-20,10:00,,,Beating with a club and cutting with a knife after asking about the reason to beat,Assault
80.615696,7.353901,Hapugoda,,2020-07-29,10:00,2020-08-21,10:30,"Breaking into a house and stealing property worth 13,000",Burglary
80.60994,7.334379,Ranawana,,2020-08-20,10:30,2020-08-21,10:30,"Entering a house and stealing 50,000",Burglary
80.564739,7.335182,Aladeniya,,2020-08-22,20:30,,,"Taking 5,100 by force and threatening with a weapon",Robbery
80.615696,7.353901,Ambatenna,,2020-08-13,11:30,2020-08-13,20:08,"Breaking into a house and stealing property worth 47,600",Burglary
80.615696,7.353901,Ambatenna,,2020-08-24,0:30,2020-08-24,4:00,"Breaking into a house and stealing property worth 15,000",Burglary
80.615696,7.353901,Ambatenna,,2020-08-26,17:45,,,"30,500 worth of wallet has been stolen by a person who took the bag in the bus",Theft
80.622308,7.341378,Megodagama,,2020-08-29,9:00,2020-08-29,18:15,"Breaking into a house and stealing property worth 36,000",Burglary
80.585494,7.328943,Mapamadulla,,2020-08-30,19:30,,,"Ripping out a gold necklace worth 20,000 LKR and fleeing on a motorbike",Theft
80.578864,7.319055,Yahalathenna,,2019-12-01,18:00,2019-12-02,6:00,Sexual Assault done by father to a 16yr old girl,Rape
80.60994,7.334379,Akkara 5,,2020-08-31,21:00,,,Assualt with a knife,Assault
80.600787,7.303278,Warathenna,,2020-09-01,16:15,,,Keeping 5Kilo and500 mg of a substance,Drug
